Pcr,Stock,Name,종가,시가,고가,저가,대용가,거래량,거래대금,PER,PSR,PBR,PCR,P/EBITDAPS,Dividend Yield,Volatility
351350,11780,금호석유화학(주),140000.00 ,140000.00 ,141500.00 ,139000.00 ,106780.00 ,52014.00 ,7301104500.00 ,3.96 ,0.71 ,1.52 ,3.13 ,2.67 ,5.91 ,37.12 
355399,6280,(주)녹십자,136500.00 ,139000.00 ,139000.00 ,136500.00 ,100800.00 ,22830.00 ,3136856500.00 ,11.02 ,1.33 ,1.43 ,13.24 ,15.61 ,1.43 ,40.91 
361267,26960,(주)동서,20600.00 ,21000.00 ,21100.00 ,20500.00 ,15540.00 ,69993.00 ,1452084300.00 ,17.93 ,4.09 ,1.43 ,24.98 ,57.23 ,3.36 ,27.39 
370380,10130,고려아연(주),571000.00 ,575000.00 ,579000.00 ,563000.00 ,452400.00 ,64435.00 ,36744407000.00 ,13.39 ,1.41 ,1.51 ,13.39 ,8.69 ,3.29 ,34.43 
380130,12330,현대모비스(주),206500.00 ,206000.00 ,209000.00 ,204500.00 ,162240.00 ,152145.00 ,31583791500.00 ,13.28 ,0.69 ,0.82 ,8.30 ,10.40 ,1.40 ,28.31 
380687,11070,엘지이노텍(주),274000.00 ,275000.00 ,276500.00 ,272500.00 ,206830.00 ,150134.00 ,41222646325.00 ,8.21 ,0.44 ,2.40 ,7.21 ,3.84 ,1.09 ,44.58 
380725,5930,삼성전자(주),58100.00 ,58200.00 ,58400.00 ,57700.00 ,47280.00 ,9829407.00 ,5.7E+11,25.27 ,2.37 ,2.24 ,9.66 ,10.05 ,3.33 ,22.33 
380911,270,기아(주),62700.00 ,62600.00 ,63300.00 ,62500.00 ,49530.00 ,772642.00 ,48519522991.00 ,11.27 ,0.61 ,1.11 ,5.77 ,5.71 ,4.73 ,26.89 
380954,5380,현대자동차(주),157000.00 ,157000.00 ,158000.00 ,155500.00 ,123630.00 ,336597.00 ,52882524000.00 ,63.74 ,0.74 ,0.90 ,5.81 ,10.80 ,2.38 ,25.32 
383511,660,에스케이하이닉스(주),77800.00 ,77800.00 ,78300.00 ,77300.00 ,61770.00 ,1554446.00 ,1.21E+11,5.58 ,1.29 ,1.02 ,3.01 ,2.64 ,1.87 ,32.98 
387586,90430,(주)아모레퍼시픽,133500.00 ,134000.00 ,136500.00 ,132500.00 ,102600.00 ,162555.00 ,21835581500.00 ,32.74 ,2.64 ,2.02 ,16.16 ,17.82 ,0.73 ,45.52 
388742,14820,동원시스템즈(주),42550.00 ,44600.00 ,44600.00 ,42300.00 ,33220.00 ,42720.00 ,1834906700.00 ,32.14 ,1.44 ,2.38 ,23.12 ,10.87 ,1.40 ,39.40 
520047,51600,한전KPS(주),35050.00 ,35050.00 ,35450.00 ,34900.00 ,27530.00 ,115111.00 ,4038315350.00 ,16.07 ,1.15 ,1.43 ,11.84 ,9.36 ,3.42 ,37.10 
620084,4170,(주)신세계,213000.00 ,211500.00 ,215000.00 ,211000.00 ,167310.00 ,35411.00 ,7563232000.00 ,9.58 ,1.25 ,0.56 ,3.58 ,5.01 ,1.41 ,30.82 
622850,36570,(주)엔씨소프트,429500.00 ,430500.00 ,434500.00 ,426500.00 ,333260.00 ,47636.00 ,20462558000.00 ,25.04 ,4.14 ,3.01 ,23.55 ,21.42 ,1.26 ,42.73 
810045,7070,(주)지에스리테일,29350.00 ,29300.00 ,29400.00 ,28900.00 ,22260.00 ,130669.00 ,3817370950.00 ,3.10 ,0.28 ,0.78 ,4.08 ,3.30 ,3.99 ,26.74 
810193,30200,(주)케이티,35800.00 ,35900.00 ,36050.00 ,35700.00 ,28640.00 ,600129.00 ,21517140300.00 ,8.50 ,0.46 ,0.80 ,1.70 ,1.95 ,4.82 ,20.66 
